reaction_id,mode,expected_mz,theoretical_mw,retention_time_uv,retention_time_ms,mz_closest,signal_std,signal_rxn,snr_std,snr_rxn,peak_found_in_std,peak_found_in_rxn,match_confirmed,caffeine_peak_found_std,caffeine_peak_found_rxn,yield (%)
R0065,plus,241,240.1,1.2392,1.2809,241.0000,1.000,0.000,182.858,0.163,True,False,False,True,True,0.93
R0065,minus,239,240.1,1.2392,1.2809,239.0000,0.000,0.000,0.046,0.068,False,False,False,False,False,0.93
R0044,plus,227,226.1,1.4629,1.5046,227.0000,0.000,0.000,0.203,0.165,False,False,False,True,True,0.89
R0044,minus,225,226.1,1.4629,1.5046,225.0000,0.000,0.000,11.702,0.158,False,False,False,False,False,0.89
R0011,plus,189,188.06,1.4671,1.5088,189.0000,0.000,0.000,0.251,0.063,False,False,False,True,True,68.31
R0011,minus,187,188.06,1.4671,1.5088,187.0000,0.000,0.000,3.826,1.643,False,False,False,False,False,68.31
R0026,plus,181,180.05,0.6825,0.7242,181.0000,1.000,0.000,240.211,0.174,True,False,False,True,True,0.28
R0026,minus,179,180.05,0.6825,0.7242,179.0000,0.000,0.000,1.332,0.067,False,False,False,False,False,0.28
R0017,plus,159,158.08,1.1700,1.2117,159.0000,1.000,0.100,152.454,30.393,True,True,True,True,True,3.94
R0017,minus,157,158.08,1.1700,1.2117,157.0000,0.000,0.000,0.102,0.072,False,False,False,False,False,3.94
R0023,plus,190,189.05,0.7362,0.7779,190.0000,1.000,0.000,146.165,0.039,True,False,False,True,True,0.72
R0023,minus,188,189.05,0.7362,0.7779,188.0000,0.300,0.000,147.147,0.000,True,False,False,False,False,0.72
R0025,plus,185,184.09,1.4875,1.5292,185.0000,0.000,0.000,2.651,0.228,False,False,False,True,True,4.8
R0025,minus,183,184.09,1.4875,1.5292,183.0000,0.000,0.000,0.145,0.198,False,False,False,False,False,4.8
R0029,plus,192,191.05,1.2679,1.3096,192.0000,1.000,0.100,257.710,72.855,True,True,True,True,True,0.0
R0029,minus,190,191.05,1.2679,1.3096,190.0000,0.000,0.000,0.082,0.064,False,False,False,False,False,0.0
R0028,plus,184,183.1,0.9892,1.0309,184.0000,1.000,0.400,203.580,128.451,True,True,True,True,True,28.45
R0028,minus,182,183.1,0.9892,1.0309,182.0000,0.000,0.000,0.061,0.122,False,False,False,False,False,28.45
R0013,plus,145,144.07,0.6642,0.7059,145.0000,1.000,0.000,204.718,0.313,True,False,False,True,True,0.18
R0013,minus,143,144.07,0.6642,0.7059,143.0000,0.000,0.000,0.839,0.066,False,False,False,False,False,0.18
R0027,plus,232,231.06,1.6042,1.6459,232.0000,0.200,0.000,29.903,0.003,True,False,False,True,True,7.6
R0027,minus,230,231.06,1.6042,1.6459,230.0000,0.000,0.000,0.298,0.039,False,False,False,False,False,7.6
R0067,plus,218,217.07,1.5712,1.6129,218.0000,1.000,0.000,120.591,0.012,True,False,False,True,True,0.16
R0067,minus,216,217.07,1.5712,1.6129,216.0000,0.000,0.000,2.645,0.316,False,False,False,False,False,0.16
